alpha,lstar_um,g_eff,FWHM_circ_mrad,s_FWHM_circ,FWHM_lin_mrad,s_FWHM_lin,C_circ,C_lin,E0_circ,s_E0_circ,E0_lin,s_E0_lin,rho,s_rho
0.0,18.29556158452769,0.05084435712520851,5.816185174579795,0.011459664765570206,10.327428034776613,0.01757664974414911,1.7300249247896167,3.0697714895491863,1.989416376155536,0.00019900088559619334,1.7593338733169843,0.0005278597236208721,0.24066612668301568,0.0005278597236208721
0.1,18.71446113187711,0.07305167274177986,5.723505701947526,0.012010618365761588,10.228958079573022,0.021260476443266098,1.7414372767146253,3.1133444962019676,1.990041135227593,0.00013417940447717344,1.7648969154245986,0.00044219385076823913,0.2351030845754014,0.00044219385076823913
0.2,19.064099527540048,0.09216716196551049,5.6758564278426675,0.010382752977250923,10.111495373124274,0.030562517189601908,1.7592035321161705,3.142395212724353,1.9894890849874618,0.00010850224832702527,1.7707861147105262,0.0003188901307836709,0.22921388528947384,0.0003188901307836709
0.30000000000000004,19.51948333294104,0.11223730577647263,5.574160639842118,0.012680111141929207,9.884872695304743,0.022306187538481823,1.7689525705277864,3.141416311465426,1.9897525434657564,0.00015152213939947164,1.7771252460197502,0.0004478488690354153,0.2228747539802498,0.0004478488690354153
0.4,19.965818772954627,0.13345825561884145,5.491260744261213,0.008162876924007361,9.696665904968448,0.026581691564885674,1.7824919660990606,3.1570702685506093,1.9896137450973135,0.00015891490406179338,1.782485249610439,0.0005260549759998898,0.21751475038956092,0.0005260549759998898
0.5,20.48399173580776,0.15266006710320737,5.38450777131237,0.014422547209376942,9.57389762918624,0.01682771479120961,1.7932010743120266,3.1877364641322767,1.9896235601211802,0.0002508387696699131,1.788040611900351,0.0008992201290800395,0.2119593880996491,0.0008992201290800395
0.6000000000000001,20.960126774939095,0.1727478537219355,5.318543863563497,0.007833446448325558,9.437386326404646,0.029292365761703056,1.8124041200718028,3.2185861338302515,1.9893716263492247,0.00021525129128753022,1.7939786002867062,0.0004533745753102193,0.2060213997132938,0.0004533745753102193
0.7000000000000001,21.47409710917656,0.19014150800616472,5.220755919072024,0.0038066653409974415,9.27386112653037,0.03517060691373679,1.8227062912575371,3.2307455340912776,1.9893672058437382,0.0002771592313217649,1.800661766607932,0.0003392672627098308,0.1993382333920679,0.0003392672627098308
0.8,21.9889266363772,0.21073986985543475,5.140729058841681,0.0077253029770751585,9.003183508255066,0.009757617465325495,1.837795296499148,3.218305315026841,1.9896563041514017,0.00020276297506742103,1.8064031997867354,0.0005940788574164755,0.19359680021326464,0.0005940788574164755
0.9,22.550293133809348,0.23273157327285598,5.0434273950455,0.013854866722543404,8.841400603376348,0.05421074948516009,1.849040208033643,3.2510604632566698,1.9896462285590844,0.00033438751175966124,1.81289919105105,0.0005628450434364665,0.1871008089489501,0.0005628450434364665
1.0,23.164770484907095,0.24848101971101977,4.957348915689686,0.011687115605518685,8.629321329095944,0.03077454055700429,1.867006711221407,3.239574654161799,1.9895987399585118,7.369928469541224e-05,1.818208214730467,0.0002918955166922199,0.181791785269533,0.0002918955166922199
