medium,rms_delta_crudo,frac_fuera_banda_crudo,rms_delta_renorm,frac_fuera_banda_renorm,s,CI_s,A,CI_A
Homogeneous,0.09245131624098891,0.21476510067114093,0.04512045836638585,0.053691275167785234,0.5866503951442646,0.07314263496727941,1.0821845227603435,0.13079945326705253
Mixture,0.03560601790727116,0.06354515050167224,0.022264592864138396,0.043478260869565216,0.8991234889090609,0.02944382682139417,0.9680858852545388,0.018283318839260054
Bilayer,0.049826615599919584,0.046822742474916385,0.04046501881832795,0.07357859531772576,0.9009406400085233,0.14183023755540314,0.9028508112597529,0.1046835698759074
