medium,mode,N_max,eta(0),CI_eta(0),dq_FWHM,T_wall [h],fotones/s,sigma_eta0,FOM [1/s]
Homogeneous,estimator,500000,1.8664322471995258,0.00424569909518809,1.7133868375668313,0.10808638231555556,1284.9804564964174,0.001529430509793981,1098.6693758417337
Homogeneous,analog,1000000000,1.8922546789909997,0.08603444356483178,0.9492593347413429,0.8827999575097227,314655.4045622714,0.030992234713556117,0.32758907579119684
Mixture,estimator,500000,1.8422880075046693,0.0016624820014290932,1.3526388272582697,1.2252694261997223,113.35375381042897,0.0005988768016675409,632.107468432144
Mixture,analog,1000000000,1.8443567435905908,0.049888358659664594,1.297530158619135,0.9224949268113859,301115.77820587024,0.017971310756363327,0.9323393295964781
Bilayer,estimator,500000,1.6003328453559214,0.017578156183142866,0.6875544282282108,0.36235867494971896,383.2911932028705,0.006332188826780572,19.11838143802508
Bilayer,analog,1000000000,1.5684399273277738,0.09410428234480918,0.594316786042574,2.930323685482221,94794.23012344317,0.03389923715591109,0.08249014238825547
