medium,rms_delta_crudo,frac_fuera_banda_crudo,rms_delta_renorm,frac_fuera_banda_renorm,s,CI_s,A,CI_A
Homogeneous,0.07843781427143469,0.7166666666666667,0.017498326566062986,0.03333333333333333,0.5696313894184447,0.059125530720219435,1.0965689360940472,0.08845508099769331
Mixture,0.026236388743322736,0.13333333333333333,0.008095037696750795,0.0,0.90538192346981,0.024397232849294365,0.9623916374342562,0.0372768646286132
Bilayer,0.03673097111627698,0.11666666666666667,0.020451020190240123,0.08333333333333333,0.7505003338678209,0.20258342944637897,1.0596182908057574,0.16669128930658952
