medium,mode,N_max,eta(0),CI_eta(0),dq_FWHM,CI_dq,T_wall [s],cpu/wall,photons/s,hits,FOM
Homogeneous,estimator,500000,1.978345477326249,0.0035682390645181534,1.4126741674718306,0.04189789294517557,389.110976336,43.9834925864737,1284.9804564964174,53662910.0,1555.4553703146353
Homogeneous,analog,1000000000,1.9896817296788272,0.5533320530650921,0.97627690538587,,3178.079847035002,45.88814674079736,314655.4045622714,4063376.0,0.007919585690386277
Mixture,estimator,500000,1.985081368217966,0.00016123474760045372,1.074574026853324,0.012758398703156888,4410.9699343190005,43.825657663319866,113.35375381042897,53717783.0,67202.82685018844
Mixture,analog,1000000000,1.9949938711442805,0.5536939491004808,0.7920018826140915,0.2073671137253412,3320.981736520989,45.8844639559977,301115.77820587024,15369515.0,0.007568901986913701
Bilayer,estimator,500000,1.9664194453218797,0.0063733457008596315,0.3870582607599442,0.0202451658100318,1304.4912298189884,44.29260320629407,383.2911932028705,176355409.0,145.43294812885208
Bilayer,analog,1000000000,1.9711411463595943,0.5138261040005027,0.3382434916797635,0.1782181434662375,10549.165267735996,45.88607296789059,94794.23012344317,8397492.0,0.0027668683739082854
