medium,s,CI_s,A,CI_A,ancho_ana_sobre_est
Homogeneous,0.5866503951442646,0.07314263496727941,1.0821845227603435,0.13079945326705253,1.7045927323616437
Mixture,0.8991234889090609,0.02944382682139417,0.9680858852545388,0.018283318839260054,1.1121942784670615
Bilayer,0.9009406400085233,0.14183023755540314,0.9028508112597529,0.1046835698759074,1.1099510396051615
