medium,s (ancho ana/est),CI_s,A (amp ana/est),CI_A,lstar_ana/lstar_est,rms antes,rms despues
Homogeneous,0.574900637240985,0.05659655997687278,1.091209044638828,0.07899188488261487,1.7394310168086025,0.07843781427143469,0.017507369717626165
Mixture,0.9053818557798416,0.024397203919433688,0.9624031414203433,0.03727953976464988,1.1045063401879862,0.026236388743322736,0.00809491498995187
Bilayer,0.7513023428459202,0.20147752423274023,1.0581654734643948,0.1653571237467633,1.3310220705715057,0.03673097111627698,0.02043555230754012
