z_um,mult,FWHM_mrad,s_FWHM,E0,s_E0,rho,s_rho,L_eff_um,w_top,s_w,tstar_taustar,m_hat_w,m_hat_t
11.79,0.09996592328456373,2.0397946008648296,0.017039621974966404,1.7268841778093957,0.0013510309413422772,0.27311582219060426,0.0013510309413422772,18.14973278814909,0.0,0.012397919400533017,0.0032456915014194157,,0.04651660278093845
23.59,0.20001663530813052,2.0199966625384236,0.016955999759228887,1.6586231886940144,0.0015380923890079578,0.34137681130598563,0.0015380923890079578,17.94022682432476,0.5642428693644616,0.018922372795778845,0.003398656229302457,0.29847691677115645,0.047600113650441755
58.97,0.49999919390082476,2.6709378488170614,0.02987987838653334,1.568918083492394,0.0020404001228666487,0.4310819165076061,0.0020404001228666487,11.980988612424742,1.198539106882976,0.017947655644695592,0.004480301476314673,,0.0546522428714179
117.94,0.9999983878016495,3.043623089360495,0.08213011933327367,1.578379538579518,0.0014283745346580833,0.42162046142048193,0.0014283745346580833,11.722665401049014,1.0524946584235082,0.026040703983045015,0.005144074365428523,,0.05856093331125864
176.91,1.4999975817024742,3.027376795045508,0.04695889201500684,1.5909136883004595,0.0025604807283959867,0.40908631169954046,0.0025604807283959867,11.840642645152919,0.9524457776425667,0.028893203552460632,0.008939376695390105,4.364156637504319,0.07719834495371908
235.88,1.999996775603299,2.863386113265549,0.0313366008012947,1.6013761407185387,0.0011619030735685863,0.39862385928146127,0.0011619030735685863,12.422247529752816,0.8916270715438527,0.015253444964662457,0.010747494668515262,1.7675010031830878,0.08464630202009324
353.82,2.9999951634049484,2.633539433873438,0.04609510863498059,1.60836876836045,0.0022304526124620697,0.39163123163955005,0.0022304526124620697,13.559237800500926,0.9223288075358924,0.019925239302388455,0.02351295638938011,2.5576215555643076,0.1252010553453394
589.7,4.999991939008249,2.4121514151288084,0.012191949826367844,1.6132665508967219,0.0018117585270251483,0.3867334491032781,0.0018117585270251483,14.22719695987117,0.9948737014994135,0.0257728559985242,,,
825.58,6.999988714611547,2.453181418192642,0.036892902350154855,1.6132727656841461,0.0020595814045385797,0.3867272343158539,0.0020595814045385797,14.03179729184155,1.0191327192288704,0.022338521013954196,,,
1179.4,9.999983878016497,2.3866353078770004,0.025424240697784872,1.6162234581659063,0.0012505342343202151,0.3837765418340937,0.0012505342343202151,13.810389630887963,1.0,0.014553856629923199,,,
