order,pol,z_um,m_s,m_star,eta0,s_eta0,rho,s_rho,q_half,s_q_half,S_shape,s_S,w_entry,s_w,rms_single_scale,tstar_tau,lam_late,reachable
normal,circular,0.001117,1.000306052881089e-05,9.463280715861862e-06,1.9926014628930653,0.002493210993317061,0.0073985371069351215,0.002493210993317061,0.5231935852006041,0.008885904994779707,4.005931378192616,0.15779504571492475,0.004567946797131304,0.048152603092398584,0.004265662419890345,,1.0900953185249127,True
normal,circular,11.166582,0.09999999610199657,0.09460384968906911,1.9881721175352602,0.004276773152339132,0.011827882464739713,0.004276773152339132,0.5597200100796551,0.010872934504999827,4.351592527545545,0.15285406036107388,0.16470906267662083,0.026600930755695903,0.010591005599522134,,1.0864850522961178,True
normal,circular,27.916456,0.24999999921028287,0.23650963269472355,1.9821944025125464,0.0043400535694427264,0.01780559748745363,0.0043400535694427264,0.5699247714639544,0.025948937602415945,4.847483884503804,0.2927174711005606,0.32255369047375776,0.100492879340693,0.013086790334907004,,0.9724992809893953,True
normal,circular,55.832912,0.49999999842056575,0.4730192653894471,1.9840804324570116,0.0057619896777765574,0.015919567542988355,0.0057619896777765574,0.6280243059751138,0.028953142860536456,5.426882904207871,0.22841703830339127,0.5420344448913529,0.049538178746766276,0.020531468952266586,,0.917802001578376,True
normal,circular,111.665824,0.9999999968411315,0.9460385307788942,1.9830184582449895,0.004742105614580399,0.016981541755010276,0.0047421056145803995,0.7223985560874084,0.01162558867482528,5.950911450323399,0.286009486064241,0.7916071772989937,0.03243379430801619,0.018307918318570194,3.363102454625645,0.7780418349923326,True
normal,circular,223.331649,2.000000002637554,1.8920770700298393,1.9855376766680206,0.004699193588430456,0.014462323331979565,0.004699193588430456,0.8823972549180764,0.021658773824220295,5.689562650911482,0.11153075229418605,1.0057195679411746,0.025861578974522306,0.009745779022560587,18.036629352407104,0.8563656054837467,True
normal,circular,334.997473,2.999999999478686,2.8381156008087336,1.9841431967004586,0.0035515978075684428,0.015856803299541377,0.0035515978075684428,0.931664124660282,0.04113825909458834,5.21497181481764,0.3855387922719873,1.0560853888119432,0.058263432412366575,0.005311490166977352,36.595169530009585,0.737702887477941,True
normal,circular,558.329122,5.00000000211624,4.730192670838573,1.9861766809835217,0.0068505402191578624,0.013823319016478087,0.0068505402191578624,0.9235504590362726,0.029367435219138885,4.587692179332453,0.215562767808947,1.006507109271003,0.08184392394666043,0.0040148493632172705,,0.16319078724943825,True
normal,circular,781.66077,6.999999995798503,6.622269732396361,1.9811884148449341,0.008250318174128184,0.01881158515506587,0.008250318174128184,0.9142959598346797,0.02550640425845475,4.637508309620005,0.19323437156034812,1.0235892662412651,0.061724629279890836,0.003596742074842703,,-0.1837712246571011,True
normal,circular,1116.658244,10.00000000423248,9.460385341677146,1.9827693607470678,0.005728131638256738,0.01723063925293209,0.005728131638256738,0.896173772082476,0.026409165545376635,4.54896840542892,0.08690224993793098,0.9521500983514479,0.06967129497457546,0.004039045362113038,,-0.0860223367339416,False
normal,linear,0.001117,1.000306052881089e-05,9.473049576922687e-06,1.7356992990752844,0.008046842211340386,0.2643007009247157,0.008046842211340386,0.8512538693476792,0.027697301832039174,7.060320609326074,0.4637292900776159,0.006708978945841313,0.13995528192781165,,,1.0900953185249127,True
normal,linear,11.166582,0.09999999610199657,0.09470150840713742,1.5659969674519991,0.004478461295240157,0.4340030325480006,0.004478461295240157,0.9137029757937307,0.016106160427601178,7.727945808941678,0.6527898271029919,-0.21651489320848136,0.08813939624470364,,,1.0864850522961178,True
normal,linear,27.916456,0.24999999921028287,0.23675377949863996,1.562614905428801,0.00841683077982392,0.43738509457119895,0.00841683077982392,1.077060452112183,0.0811354374821286,9.085199381551528,0.3636896908635316,0.10130927662338873,0.09992002615491541,,,0.9724992809893953,True
normal,linear,55.832912,0.49999999842056575,0.4735075589972799,1.5734880096436492,0.006146091616579307,0.42651199035635096,0.006146091616579307,1.3371871539269167,0.06800700592183037,11.108761956784981,0.5866813551157578,0.4956861994764353,0.06866230015646237,,,0.917802001578376,True
normal,linear,111.665824,0.9999999968411315,0.9470151179945598,1.5848769858035314,0.00608546843861629,0.41512301419646847,0.006085468438616288,1.745105686847452,0.061781567342788425,10.841926231867596,0.7946459358503498,0.9048476474704928,0.05181836407288776,,3.363102454625645,0.7780418349923326,True
normal,linear,223.331649,2.000000002637554,1.894030244469916,1.5907768099183108,0.009929778433373974,0.4092231900816892,0.009929778433373976,2.0318659087498254,0.06887907621894765,8.252984085923893,0.2921659053567756,1.0456374166658848,0.08088300500687581,,18.036629352407104,0.8563656054837467,True
normal,linear,334.997473,2.999999999478686,2.841045362464476,1.5968472827224314,0.004404273772570947,0.4031527172775686,0.0044042737725709475,1.9873058585026577,0.10119423647876191,7.0663814447667805,0.15943338108736957,1.027977153163348,0.0764483104135057,,36.595169530009585,0.737702887477941,True
normal,linear,558.329122,5.00000000211624,4.735075606934392,1.5980297630816875,0.012520025236595943,0.40197023691831235,0.012520025236595943,1.8939124375752385,0.12810884868808042,7.0070306814422505,0.4006101944436384,0.9708542870010819,0.14433083829153193,,,0.16319078724943825,True
normal,linear,781.66077,6.999999995798503,6.629105842923511,1.6006746228106974,0.008449307079039351,0.3993253771893029,0.008449307079039351,1.9080965832217096,0.044144318235033404,7.139707623064308,0.27652051468497896,0.9500116552507633,0.04967531937953854,,,-0.1837712246571011,True
normal,linear,1116.658244,10.00000000423248,9.470151213868784,1.5994174174844296,0.0025960389895187405,0.40058258251557055,0.0025960389895187405,1.8405471026796398,0.058006700114212315,7.301435882327898,0.13749320958407904,0.9020440094318554,0.06889409368727066,,,-0.0860223367339416,False
