R [nm],D_med/D_teo,s_D,s0 [tau*],n_bins
20.0,0.06124953837779081,0.002414804508710906,0.5787497389597219,18
35.0,0.06055110777912365,0.0013215253862427806,0.5486373645798321,18
55.0,0.05857398825897932,0.0014157803623897995,0.5730829039212038,18
75.0,0.06158268798190741,0.0021688216916924226,0.6366819616115089,18
100.0,0.06235439256850559,0.0018983266556860253,0.687629648608654,18
