R [nm],D_var/D_teo,s_var,D_fwhm/D_teo,cociente
20.0,0.49481084163977845,0.17875582072090718,0.4490924329478389,1.1018017791835064
35.0,0.4463816980486988,0.09639445816493176,0.44397141644538013,1.0054289116687205
55.0,0.4391639149244797,0.06578162401495258,0.4294748269355356,1.022560316417331
75.0,0.4592815154503161,0.06418571832558562,0.451535144684301,1.0171556319750727
100.0,0.4775363961237957,0.05399636770202852,0.4571934190075251,1.0444953410756244
