R [nm],pendiente,s*dq^2,D_med/D_teo,n_bins
20.0,-0.5756545810372397,136.3943519174018,0.060983215578871236,13
35.0,-0.5938449292254688,144.0736039532375,0.05773275560885581,13
55.0,-0.6002291919744221,137.62145419816346,0.06043945847819956,13
75.0,-0.6023527420288791,127.20403662579604,0.0653891683578268,13
100.0,-0.598981857935605,127.43320969406128,0.06527157392243706,13
